ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
ALİAĞA;;38.882541769496;;3;YENİŞAKRAN;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.065504504588;
ALİAĞA;;38.774595332479;;3;UZUNHASANLAR;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.083295605865;
ALİAĞA;;38.795387100782;;3;ATATÜRK;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.965196147199;
ALİAĞA;;38.701806634072;;3;B.HAYRETTİN PAŞA;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.019168046332;
ALİAĞA;;38.867269841623;;3;HACIÖMERLİ;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.061573549759;
ALİAĞA;;38.698117654402;;3;FATİH;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.020496046444;
ALİAĞA;;38.890325727299;;3;YENİŞAKRAN;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.062106506303;
ALİAĞA;;38.789409128768;;3;SİTELER;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.962563171542;
ALİAĞA;;38.760240436698;;3;KARAKUZU;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.112548487104;
ALİAĞA;;38.763640288348;;3;SAMURLU;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.98955508365;
ALİAĞA;;38.843837020874;;3;KALABAK;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.118184315243;
ALİAĞA;;38.734801361935;;3;HOROZGEDİĞİ;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.922460463916;
ALİAĞA;;38.71995948309;;3;BOZKÖY;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.964735282558;
ALİAĞA;;38.774245264866;;3;GÜZELHİSAR;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.017951925327;
ALİAĞA;;38.775559259088;;3;GÜZELHİSAR;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.018267921552;
ALİAĞA;;38.756859396276;;3;ÇITAK;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.057873760704;
ALİAĞA;;38.702409638309;;3;B.HAYRETTİN PAŞA;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.026316009787;
ALİAĞA;;38.703009632639;;3;B.HAYRETTİN PAŞA;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.023385023837;
ALİAĞA;;38.751983261015;;3;ÇAKMAKLI;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.909808496005;
ALİAĞA;;38.700923654906;;3;MİMAR SİNAN;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.034773971087;
ALİAĞA;;38.801540068859;;3;KAZIM DİRİK;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.963408145272;
ALİAĞA;;38.801717074611;;3;KAZIM DİRİK;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.970063111857;
ALİAĞA;;38.915722597203;;3;YENİŞAKRAN;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.060087472313;
ALİAĞA;;38.852894884998;;3;ÇALTILIDERE;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.034587705983;
ALİAĞA;;38.789781124891;;3;SİTELER;;Aliağa Afet ve Acil Durum Toplanma Alanı;26.960277181269;
ALİAĞA;;38.886152757542;;3;YENİŞAKRAN;;Aliağa Afet ve Acil Durum Toplanma Alanı;27.071115470448;
ALİAĞA;;38.798882093684;;3;KURTULUŞ;;ALİAĞA İLÇESİ, KURTULUŞ MAHALLESİ, 1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.974858093749;
ALİAĞA;;38.802508073742;;3;KÜLTÜR;;ALİAĞA İLÇESİ, KÜLTÜR MAHALLESİ, 1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.972773097817;
ALİAĞA;;38.801243095626;;3;KÜLTÜR;;ALİAĞA İLÇESİ, KÜLTÜR MAHALLESİ, 2 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.987207029451;
ALİAĞA;;38.788229128741;;3;SİTELER;;ALİAĞA İLÇESİ, SİTELER MAHALLESİ, 2 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.957437197134;
ALİAĞA;;38.784238145252;;3;SİTELER;;ALİAĞA İLÇESİ, SİTELER MAHALLESİ, 3 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.953393224661;
ALİAĞA;;38.830988939327;;3;YALI;;ALİAĞA İLÇESİ, YALI MAHALLESİ, 1 NO'LU AFET VE ACİL DURUM TOPLANMA ALANI;26.981829003668;
