ILCE;MAHALLE;YAPI;DIGER_YAPI
ALİAĞA;AŞAĞIŞAKRAN;326;24
ALİAĞA;ATATÜRK;688;200
ALİAĞA;B.HAYRETTİN PAŞA;746;118
ALİAĞA;BAHÇEDERE;113;27
ALİAĞA;BOZKÖY;379;223
ALİAĞA;ÇAKMAKLI;750;63
ALİAĞA;ÇALTILIDERE;624;86
ALİAĞA;ÇITAK;335;172
ALİAĞA;ÇORAKLAR;321;126
ALİAĞA;FATİH;785;115
ALİAĞA;GÜZELHİSAR;425;86
ALİAĞA;HACIÖMERLİ;422;71
ALİAĞA;HOROZGEDİĞİ;226;126
ALİAĞA;KALABAK;335;71
ALİAĞA;KAPUKAYA;142;80
ALİAĞA;KARAKÖY;124;19
ALİAĞA;KARAKUZU;297;88
ALİAĞA;KAZIM DİRİK;569;9
ALİAĞA;KÜLTÜR;1043;56
ALİAĞA;KURTULUŞ;596;19
ALİAĞA;MİMAR SİNAN;572;52
ALİAĞA;SAMURLU;346;64
ALİAĞA;ŞEHİTKEMAL;228;75
ALİAĞA;SİTELER;464;606
ALİAĞA;UZUNHASANLAR;154;67
ALİAĞA;YALI;915;59
ALİAĞA;YENİ;1446;39
ALİAĞA;YENİŞAKRAN;2851;72
ALİAĞA;YUKARI ŞEHİTKEMAL;151;19
ALİAĞA;YÜKSEKKÖY;87;42
BALÇOVA;BAHÇELERARASI;287;35
BALÇOVA;ÇETİN EMEÇ;835;36
BALÇOVA;EĞİTİM;1262;34
BALÇOVA;FEVZİ ÇAKMAK;882;6
BALÇOVA;İNCİRALTI;375;21
BALÇOVA;KORUTÜRK;1179;23
BALÇOVA;ONUR;1354;6
BALÇOVA;TELEFERİK;628;10
BAYINDIR;ALANKIYI;362;59
BAYINDIR;ALANKÖY;148;21
BAYINDIR;ARIKBAŞI;461;162
BAYINDIR;ATATÜRK;313;79
BAYINDIR;BALCILAR;179;17
BAYINDIR;BIYIKLAR;282;3
BAYINDIR;BURUNCUK;276;71
BAYINDIR;CAMİİ;455;9
BAYINDIR;ÇAMLIBEL;151;6
BAYINDIR;ÇENİKLER;112;26
BAYINDIR;ÇİFTÇİGEDİĞİ;152;88
BAYINDIR;ÇINAR;81;2
BAYINDIR;ÇINARDİBİ;633;291
BAYINDIR;ÇIRPI CAMİ;471;51
BAYINDIR;CUMHURİYET;395;131
BAYINDIR;DEMİRCİLİK;417;28
BAYINDIR;DEREKÖY;163;21
BAYINDIR;DERNEKLİ;96;11
BAYINDIR;ELİFLİ;316;90
BAYINDIR;ERGENLİ;459;108
BAYINDIR;FATİH;882;147
BAYINDIR;FIRINLI;717;370
BAYINDIR;GAZİLER;75;13
BAYINDIR;HACI BEŞİR;377;7
BAYINDIR;HACI İBRAHİM;736;24
BAYINDIR;HASKÖY;369;119
BAYINDIR;HATAY;155;12
BAYINDIR;HAVUZBAŞI;142;113
BAYINDIR;HİSARLIK;190;12
BAYINDIR;İBRAHİMÇAVUŞ;310;76
BAYINDIR;KABAAĞAÇ;99;6
BAYINDIR;KARAHALİLLİ;345;148
BAYINDIR;KARAHAYIT;41;23
BAYINDIR;KARAPINAR;55;33
BAYINDIR;KARAVELİLER;267;113
BAYINDIR;KIZILCAAĞAÇ;180;36
BAYINDIR;KIZILCAOVA;547;333
BAYINDIR;KIZILKEÇİLİ;256;25
BAYINDIR;KIZILOBA;429;32
BAYINDIR;KURT;451;7
BAYINDIR;LÜTUFLAR;240;93
BAYINDIR;MEKTEP;288;35
BAYINDIR;MİTHATPAŞA;283;23
BAYINDIR;NECATİ UZA;301;38
BAYINDIR;ORTA;146;3
BAYINDIR;OSMANLAR;139;21
BAYINDIR;PINARLI;858;312
BAYINDIR;SADIKPAŞA;649;135
BAYINDIR;SARIYURT;265;42
BAYINDIR;SÖĞÜTÖREN;374;13
BAYINDIR;TOKATBAŞI;237;78
BAYINDIR;TURAN;252;33
BAYINDIR;YAKACIK;371;142
BAYINDIR;YAKAPINAR;848;301
BAYINDIR;YENİ;350;11
BAYINDIR;YENİCE;76;12
BAYINDIR;YEŞİLOVA;611;248
BAYINDIR;YUSUFLU;585;294
BAYINDIR;ZEYTİNOVA;967;143
